"STATION","NAME","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2002","6.3","1150","        49","        30",,,"         0","       207","        73","27",,,"1.67","110","2532","16.98",,"60.9","74.0","47.9"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2003","6.0","1417","        66","        39",,,"         0","       189","        82","29",,,"1.21","105","2468","14.52",,"62.0","74.4","49.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2004","6.5","1276","        55","        34",,,"         0","       208","        73","27",,,"1.67","105","2220","17.56",,"61.8","74.0","49.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2005","6.0","1142","        69","        43",,,"         0","       213","        64","28",,,"2.12","105","2695","22.17",,"61.4","73.6","49.2"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2006","6.0","1232","        70","        46",,,"         0","       192","        70","26",,,"1.14","111","2558","17.79",,"60.8","73.3","48.3"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2007","6.0","1099","        45","        30",,,"         0","       223","        63","21",,,"1.32","107","2583","11.74",,"60.9","74.4","47.4"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2008","5.6","1250","        46","        29",,,"         0","       211","        74","27",,,"1.99","108","2722","13.30",,"61.1","74.4","47.8"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2009","5.4","1306","        58","        36",,,"         0","       208","        79","23",,,"2.94","108","2490","18.90",,"61.4","74.6","48.3"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2010","5.6","1044","        80","        51",,,"         0","       198","        63","27",,,"1.34","108","2738","22.87",,"60.7","72.7","48.7"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2011","5.4","1116","        56","        39",,,"         0","       190","        67","25",,,"1.17","102","2725","16.95",,"60.2","72.7","47.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2012","5.4","1276","        58","        39",,,"         0","       206","        86","24",,,"1.68","106","2641","21.16",,"61.7","74.9","48.4"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2013","5.4","1277","        30","        20",,,"         0","       233","        68","22",,,"0.61","109","2366","5.81",,"61.8","76.0","47.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2014","5.1","1524","        53","        34",,,"         0","       239","        88","30",,,"2.39","106","2069","18.75",,"64.3","77.3","51.3"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2015","5.1","1577","        37","        18",,,"         0","       242","        90","27",,,"1.35","107","1673","8.53",,"63.8","77.0","50.5"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2016","5.6","1260","        67","        47",,,"         0","       234","        76","27",,,"2.12","104","2107","22.20",,"62.6","75.3","49.9"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2017","5.8","1507","        62","        45",,,"         0","       205","        84","29",,,"2.05","110","2431","26.05",,"62.6","75.2","50.0"
